-9.219 -2.987 0.8053 -3.8 -2.987
-1.656 -0.1685 -0.08059 -0.6351 -0.1685
-7.929 -5.469 9.671 -1.243 -5.469
-9.214 2.03 5.551 -0.5444 2.03
-9.876 -0.5818 0.3864 -3.357 -0.5818
-6.325 -4.45 -2.474 -4.417 -4.45
-6.37 3.486 3.708 0.2747 3.486
-5.726 -3.365 4.407 -1.561 -3.365
-8.117 3.31 4.777 -0.009971 3.31
-3.494 -0.7369 7.729 1.166 -0.7369
-9.8 -9.202 -5.916 -8.306 -9.202
2.291 6.279 9.748 6.106 6.279
-2.836 1.484 4.673 1.107 1.484
-4.524 3.364 4.543 1.128 3.364
-6.38 -6.311 -3.437 -5.376 -6.311
-4.502 -2.084 7.473 0.2957 -2.084
1.177 5.362 7.662 4.734 5.362
-9.318 -4.755 -1.603 -5.225 -4.755
-5.614 3.708 4.932 1.008 3.708
-4.525 -3.531 3.233 -1.608 -3.531
-9.809 -7.203 -1.59 -6.201 -7.203
-8.948 -1.94 1.753 -3.045 -1.94
-8.3 4.732 9.154 1.862 4.732
-9.916 -8.165 0.544 -5.846 -8.165
-9.518 -7.395 8.411 -2.834 -7.395
-5.643 4.203 6.799 1.786 4.203
-2.889 4.295 5.154 2.187 4.295
-3.675 2.274 4.127 0.9086 2.274
-6.512 1.954 2.95 -0.536 1.954
-7.373 -5.454 0.1087 -4.239 -5.454
-8.714 -1.183 -0.7814 -3.559 -1.183
-9.68 2.244 6.256 -0.3934 2.244
-2.305 -1.622 1.297 -0.8765 -1.622
2.543 3.088 5.645 3.759 3.088
-2.67 1.349 8.17 2.283 1.349
-4.462 -3.895 9.344 0.3289 -3.895
-1.968 4.344 9.416 3.931 4.344
0.2607 1.752 2.414 1.475 1.752
-1.85 -1.816 4.509 0.281 -1.816
-5.485 3.728 8.963 2.402 3.728
-7.07 -2.814 0.359 -3.175 -2.814
-4.949 -1.124 -0.2924 -2.122 -1.124
-6.168 -2.261 0.409 -2.673 -2.261
-3.422 1.638 6.874 1.697 1.638
-1.689 -1.443 7.156 1.341 -1.443
-3.338 -2.888 9.709 1.161 -2.888
-5.373 2.834 6.814 1.425 2.834
-1.949 4.071 8.828 3.65 4.071
3.047 5.57 9.435 6.017 5.57
-8.684 0.323 3.692 -1.556 0.323
