-5.239 7.571 9.714 4.015 7.571
-9.588 -7.07 -3.306 -6.655 -7.07
-7.502 -6.702 7.774 -2.144 -6.702
-9.405 -8.916 9.626 -2.898 -8.916
-7.805 0.4029 7.085 -0.1056 0.4029
4.233 5.278 7.477 5.663 5.278
-5.016 2.556 8.858 2.133 2.556
-6.828 1.029 3.871 -0.6429 1.029
-6.588 -3.282 6.241 -1.21 -3.282
-6.101 -2.118 6.402 -0.6056 -2.118
-0.4359 5.384 9.551 4.833 5.384
-3.07 1.173 7.736 1.946 1.173
-6.444 8.999 9.63 4.061 8.999
-8.723 -4.311 4.369 -2.888 -4.311
-1.319 5.785 6.45 3.639 5.785
-0.6502 5.502 5.598 3.484 5.502
-7.656 -5.947 3.861 -3.247 -5.947
-6.368 5.151 8.593 2.459 5.151
-7.567 -2.95 8.809 -0.5692 -2.95
0.7466 1.266 6.819 2.944 1.266
